product_availability,product_name,product_price
Wysyłamy najczęściej w 1 dzień roboczy,Lenovo Ideapad S145-14AST (81ST002EPB),999
Produkt tymczasowo niedostępny.,Lenovo Ideapad S145-15AST (81N3006XPB),999
Produkt tymczasowo niedostępny.,Lenovo Ideapad S145-15API (81UT0067PB),1049
Produkt tymczasowo niedostępny.,Lenovo Ideapad S145-15AST (81N3006XPB) - 240GB SSD,1089
Produkt tymczasowo niedostępny.,Lenovo Ideapad S145-15IWL (81MV00KGPB),1099
Produkt tymczasowo niedostępny.,Lenovo Ideapad S145-15AST (81N3006XPB) - 8GB,1109
Produkt tymczasowo niedostępny.,Lenovo Ideapad S145-15AST (81N300CDPB),1129
Produkt tymczasowo niedostępny.,Lenovo Ideapad S145-15AST (81N3006XPB) - 240GB SSD | 8GB,1189
Wysyłamy najczęściej w 1 dzień roboczy,Lenovo Ideapad S145-14IWL (81MU00CXPB),1199
Produkt tymczasowo niedostępny.,Lenovo Ideapad S145-15AST (81N3006XPB) - 480GB SSD,1199
Wysyłamy najczęściej w 1 dzień roboczy,Lenovo Ideapad S145-15AST (81N300CDPB) - 8GB,1239
Dostawa towaru 09-01-2020 - zamów już teraz,Lenovo Ideapad S145-15AST (81N3006YPB),1249
Produkt tymczasowo niedostępny.,Lenovo Ideapad S145-15API (81UT0069PB),1249
Produkt tymczasowo niedostępny.,Lenovo Ideapad S145-15AST (81N300CDPB) - 480GB SSD,1249
Wysyłka w 1-3 dni,Lenovo Ideapad C340-14IWL (81N400FAPB) [oferta Outlet],"1279,20"
Produkt tymczasowo niedostępny.,Lenovo Ideapad S145-15AST (81N3006XPB) - 480GB SSD | 8GB,1309
Wysyłka w 1-3 dni,Lenovo Ideapad S145-15AST (81N300CEPB),1349
Wysyłka w 1-3 dni,Lenovo Ideapad S130-14IGM (81J2007BPB),1349
Produkt tymczasowo niedostępny.,Lenovo Ideapad S145-15API (81UT0068PB),1349
Produkt tymczasowo niedostępny.,Lenovo Ideapad S145-15API (81UT0069PB) - 8GB,1369
