Lenovo MIIX 3-1030 (80HV006APB) + stacja dokująca,849,"Towar trwale niedostępny, wyczerpane zapasy magazynowe"
Lenovo Ideapad S145-15AST (81N300CDPB) - 8GB,1239,Produkt tymczasowo niedostępny.
Lenovo G500C (59-395370) - 12 GB [oferta Outlet],"1224,93",Wysyłka w 1-3 dni
Lenovo Ideapad S145-15IWL (81MV00KGPB) - 8GB,1209,Produkt tymczasowo niedostępny.
Lenovo Ideapad S145-15AST (81N3006XPB) - 480GB SSD,1209,Produkt tymczasowo niedostępny.
Lenovo Ideapad S145-14IWL (81MU00CXPB),1199,Wysyłamy najczęściej w 1 dzień roboczy
Lenovo Ideapad S145-15AST (81N3006XPB) - 240GB SSD | 8GB,1199,Produkt tymczasowo niedostępny.
Lenovo Ideapad S145-15API (81UT0069PB),1249,Produkt tymczasowo niedostępny.
Lenovo Ideapad 330-15AST (81D600N3PB) [oferta Outlet],"1146,65",Wysyłka w 1-3 dni
Lenovo Ideapad S145-15AST (81N3006XPB) - 8GB,1109,Produkt tymczasowo niedostępny.
Lenovo Ideapad S145-15AST (81N3006YPB),1249,Produkt tymczasowo niedostępny.
Lenovo Ideapad S145-14AST (81ST002EPB) - 240GB SSD,1139,Wysyłka w 1-3 dni
Lenovo Ideapad S145-15AST (81N300CDPB),1099,Produkt tymczasowo niedostępny.
Lenovo Ideapad S145-15AST (81N3006XPB),999,Produkt tymczasowo niedostępny.
Lenovo Ideapad S145-15IWL (81MV00KGPB),1099,"Towar trwale niedostępny, wyczerpane zapasy magazynowe"
Lenovo Ideapad S145-15AST (81N3006XPB) - 240GB SSD,1089,Produkt tymczasowo niedostępny.
Lenovo Ideapad S145-15API (81UT0067PB),1049,"Towar trwale niedostępny, wyczerpane zapasy magazynowe"
Lenovo Ideapad S145-15AST (81N3006XPB) - 480GB SSD | 8GB,1319,Produkt tymczasowo niedostępny.
Lenovo Ideapad S145-15API (81UT0068PB),1349,Produkt tymczasowo niedostępny.
Lenovo Ideapad S145-15AST (81N300CEPB),1349,Wysyłka w 1-3 dni
Lenovo Ideapad S145-14IWL (81MU00CXPB) - 8GB,1329,Wysyłamy najczęściej w 1 dzień roboczy
Lenovo Ideapad S145-15AST (81N3006YPB) - 240GB SSD,1369,Produkt tymczasowo niedostępny.
Lenovo Ideapad S145-15IWL (81MV00KHPB),1399,Produkt tymczasowo niedostępny.
Lenovo Ideapad S145-15AST (81N300CDPB) - 480GB SSD | 8GB,1399,Produkt tymczasowo niedostępny.
Lenovo Ideapad S130-14IGM (81J2007BPB),1349,"Towar trwale niedostępny, wyczerpane zapasy magazynowe"
Lenovo Ideapad S145-14IWL (81MU00CYPB),1399,Wysyłamy najczęściej w 1 dzień roboczy
Lenovo Ideapad S145-14IWL (81MU00CXPB) - 240GB SSD | 8GB,1379,Wysyłamy najczęściej w 1 dzień roboczy
Lenovo Ideapad S145-15API (81UT0069PB) - 8GB,1369,Produkt tymczasowo niedostępny.
Lenovo Ideapad S145-15AST (81N300CDPB) - 480GB SSD,1259,Produkt tymczasowo niedostępny.
Lenovo Ideapad S145-14IWL (81MU00CXPB) - 240GB SSD,1309,Wysyłamy najczęściej w 1 dzień roboczy
